Donald Duck Finds Pirate Gold 	"Donald Duck Four Color" #9 (Oct 1942) 	64 	Donald Duck 	Carl Barks, Jack Hannah 	Bob Karp 	W OS 9-02
The Fabulous Tycoon 	"Uncle Scrooge" #23 (Sept 1958) 	5 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 23-05
Gyro Goes for a Dip 	"Uncle Scrooge" #23 (Sept 1958) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 23-03
Moola on the Move 	"Uncle Scrooge" #23 (Sept 1958) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 23-01
All Choked Up 	"Uncle Scrooge" #23 (Sept 1958) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 23-06
Lights Out 	"Uncle Scrooge" #23 (Sept 1958) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 23-07
Dramatic Donald 	"Walt Disney's Comics and Stories" #217 (Oct 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 217-01
The Forbidium Money Bin 	"Disneyland Birthday Party" #1 (Oct 1958) 	16 	Gyro Gearloose & Uncle Scrooge 	Carl Barks 	Carl Barks 	W DISBP 1-03
Noble Porpoises 	"Walt Disney's Comics and Stories" #218 (Nov 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 218-01
The Littlest Chicken Thief 	"Walt Disney's Comics and Stories" #219 (Dec 1958) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 219-01
The Twenty-four Carat Moon 	"Uncle Scrooge" #24 (Dec 1958) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 24-01
The House on Cyclone Hill 	"Uncle Scrooge" #24 (Dec 1958) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 24-02
The Magic Ink 	"Uncle Scrooge" #24 (Dec 1958) 	6 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 24-04
Christmas in Duckburg 	"Walt Disney's Christmas Parade" #9 (Dec 1958) 	20 	Donald Duck 	Carl Barks 	Bob Gregory 	W CP 9-01
Rocket-Roasted Christmas Turkey 	"Walt Disney's Comics and Stories" #220 (Jan 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 220-01
Tracking Sandy 	"Walt Disney's Comics and Stories" #221 (Feb 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 221-01
The Master Mover 	"Walt Disney's Comics and Stories" #222 (March 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 222-01
The Flying Dutchman 	"Uncle Scrooge" #25 (March 1959) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 25-02
Pyramid Scheme 	"Uncle Scrooge" #25 (March 1959) 	5 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 25-05
The Wishing Well 	"Uncle Scrooge" #25 (March 1959) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 25-03
Immovable Miser 	"Uncle Scrooge" #25 (March 1959) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 25-01
Bill Wind 	"Uncle Scrooge" #25 (March 1959) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 25-06
News from Afar 	"Uncle Scrooge" #25 (March 1959) 	<1 	Uncle Scrooge 	Carl Barks 	Bob Karp 	W US 25-07
Kitty-Go-Round 	"Uncle Scrooge" #25 (March 1959) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 25-08
Spring Fever 	"Walt Disney's Comics and Stories" #223 (April 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 223-01
The Beachcombers' Picnic 	"Walt Disney's Comics and Stories" #224 (May 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 224-01
The Lovelorn Fireman 	"Walt Disney's Comics and Stories" #225 (June 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 225-01
The Prize of Pizarro 	"Uncle Scrooge" #26 (June 1959) 	20 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 26-01
Return to Pizen Bluff 	"Uncle Scrooge" #26 (June 1959) 	6 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 26-04
Krankenstein Gyro 	"Uncle Scrooge" #26 (June 1959) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 26-02
The Floating Island 	"Walt Disney's Comics and Stories" #226 (July 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 226-01
The Flying Farm Hand 	"Grandma Duck's Farm Friends" #1010 (July 1959) 	8 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1010-01
A Honey of a Hen 	"Grandma Duck's Farm Friends" #1010 (July 1959) 	7 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1010-02
The Weather Watchers 	"Grandma Duck's Farm Friends" #1010 (July 1959) 	7 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1010-03
The Sheepish Cowboys 	"Grandma Duck's Farm Friends" #1010 (July 1959) 	6 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1010-04
The Black Forest Rescue 	"Walt Disney's Comics and Stories" #227 (Aug 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 227-01
Mastering the Matterhorn 	"Vacation in Disneyland" #1025 (Aug 1959) 	8 	Donald Duck 	Carl Barks 	(?) 	W OS 1025-02
Trail Tycoon 	"Vacation in Disneyland" #1025 (Aug 1959) 	6 	Grandma Duck 	Carl Barks 	(?) 	W OS 1025-03
On the Dream Planet 	"Vacation in Disneyland" #1025 (Aug 1959) 	6 	Gyro Gearloose and Gus Goose 	Carl Barks 	(?) 	W OS 1025-05
Jungle Hi-jinks 	"Walt Disney's Summer Fun" #2 (Aug 1959) 	14 	Donald Duck 	Carl Barks 	(?) 	W WDSF 2-06
Fun? What's That? 	"Walt Disney's Summer Fun" #2 (Aug 1959) 	10 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W WDSF 2-02
The Watchful Parents 	"Walt Disney's Comics and Stories" #228 (Sept 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 228-01
The Money Champ 	"Uncle Scrooge" #27 (Sept 1959) 	22 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 27-01
The Firefly Tracker 	"Uncle Scrooge" #27 (Sept 1959) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 27-02
His Handy Andy 	"Uncle Scrooge" #27 (Sept 1959) 	4 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 27-04
Crawls for Cash 	"Uncle Scrooge" #27 (Sept 1959) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 27-05
The Good Deeds 	"Walt Disney's Comics and Stories" #229 (Oct 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 229-01
Black Wednesday 	"Walt Disney's Comics and Stories" #230 (Nov 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 230-01
The Gab-Muffer 	"Gyro Gearloose" #1047 (Nov 1959) 	10 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1047-02
The Stubborn Stork 	"Gyro Gearloose" #1047 (Nov 1959) 	8 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1047-03
Milktime Melodies 	"Gyro Gearloose" #1047 (Nov 1959) 	7 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1047-04
The Lost Rabbit Foot 	"Gyro Gearloose" #1047 (Nov 1959) 	6 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1047-05
The Odd Order 	"Gyro Gearloose" #1047 (Nov 1959) 	1 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1047-07
The Bird Camera 	"Gyro Gearloose" #1047 (Nov 1959) 	1 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1047-06
Donald's Party 	"Daisy Duck's Diary" #1055 (Nov 1959) 	7 	Daisy Duck's Diary 	Carl Barks 	Bob Gregory 	W OS 1055-05
The Beauty Queen 	"Daisy Duck's Diary" #1055 (Nov 1959) 	7 	Daisy Duck's Diary 	Carl Barks 	Bob Gregory 	W OS 1055-06
The Librarian 	"Daisy Duck's Diary" #1055 (Nov 1959) 	6 	Daisy Duck's Diary 	Carl Barks 	Bob Gregory 	W OS 1055-02
The TV Babysitter 	"Daisy Duck's Diary" #1055 (Nov 1959) 	6 	Daisy Duck's Diary 	Carl Barks 	Bob Gregory 	W OS 1055-04
The Double Date 	"Daisy Duck's Diary" #1055 (Nov 1959) 	5 	Daisy Duck's Diary 	Carl Barks 	Bob Gregory 	W OS 1055-03
Tight Shoes 	"Daisy Duck's Diary" #1055 (Nov 1959) 	<1 	Daisy Duck 	Carl Barks 	(?) 	W OS 1055-07
The Framed Mirror 	"Daisy Duck's Diary" #1055 (Nov 1959) 	1 	Daisy Duck 	Carl Barks 	(?) 	W OS 1055-08
The New Girl 	"Daisy Duck's Diary" #1055 (Nov 1959) 	1 	Daisy Duck 	Carl Barks 	(?) 	W OS 1055-09
The Master Glasser 	"Donald Duck" #68 (Nov 1959) 	5 	Donald Duck 	Carl Barks 	(?) 	W DD 68-04
The Wax Museum 	"Walt Disney's Comics and Stories" #231 (Dec 1959) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 231-01
The Paul Bunyan Machine 	"Uncle Scrooge" #28 (Dec 1959) 	21 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 28-01
The Witching Stick 	"Uncle Scrooge" #28 (Dec 1959) 	5 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 28-04
The Inventors' Contest 	"Uncle Scrooge" #28 (Dec 1959) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 28-02
The Money Hat 	"Uncle Scrooge" #28 (Dec 1959) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 28-05
The Christmas Cha Cha 	"Dell Giant" #26 (Dec 1959) 	16 	Donald Duck 	Carl Barks 	Bob Gregory 	W DG 26-01
Under the Polar Ice 	"Walt Disney's Comics and Stories" #232 (Jan 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 232-01
Touché Toupeé 	"Grandma Duck's Farm Friends" #1073 (Jan 1960) 	6 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1073-03
The Snow Chaser 	"Grandma Duck's Farm Friends" #1073 (Jan 1960) 	6 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1073-04
Free Ski Spree 	"Grandma Duck's Farm Friends" #1073 (Jan 1960) 	6 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1073-06
Mopping Up 	"Grandma Duck's Farm Friends" #1073 (Jan 1960) 	1 	Grandma Duck 	Carl Barks 	Vic Lockman 	W OS 1073-01
Knights of the Flying Sleds 	"Walt Disney's Comics and Stories" #233 (Feb 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 233-01
Riding the Pony Express 	"Walt Disney's Comics and Stories" #234 (March 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 234-01
Island in the Sky 	"Uncle Scrooge" #29 (March 1960) 	18 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 29-01
Hound of the Whiskervilles 	"Uncle Scrooge" #29 (March 1960) 	7 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 29-04
Oodles of Oomph 	"Uncle Scrooge" #29 (March 1960) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 29-02
Want to Buy an Island? 	"Walt Disney's Comics and Stories" #235 (April 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 235-02
Cave of the Winds 	"Gyro Gearloose" #1095 (April 1960) 	10 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1095-02
The Madball Pitcher 	"Gyro Gearloose" #1095 (April 1960) 	8 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1095-04
Mixed-Up Mixer 	"Gyro Gearloose" #1095 (April 1960) 	7 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1095-03
The Bear Tamer 	"Gyro Gearloose" #1095 (April 1960) 	7 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1095-05
The Call of the Wild 	"Gyro Gearloose" #1095 (April 1960) 	1 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1095-01
Tale of the Tape 	"Gyro Gearloose" #1095 (April 1960) 	1 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1095-06
His Shining Hour 	"Gyro Gearloose" #1095 (April 1960) 	1 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1095-07
Froggy Farmer 	"Walt Disney's Comics and Stories" #236 (May 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 236-01
Rainbow's End 	"Donald Duck" #71 (May 1960) 	<1 	Huey Dewey and Louie 	Carl Barks 	(?) 	W DD 71-05
Mystery of the Loch 	"Walt Disney's Comics and Stories" #237 (June 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 237-01
Pipeline to Danger 	"Uncle Scrooge" #30 (June 1960) 	17 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 30-01
Yoicks! The Fox! 	"Uncle Scrooge" #30 (June 1960) 	9 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 30-04
War Paint 	"Uncle Scrooge" #30 (June 1960) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 30-02
The Dog-sitter 	"Walt Disney's Comics and Stories" #238 (July 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 238-01
The Village Blacksmith 	"Walt Disney's Comics and Stories" #239 (Aug 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 239-01
The Fraidy Falcon 	"Walt Disney's Comics and Stories" #240 (Sept 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 240-01
All at Sea 	"Uncle Scrooge" #31 (Sept 1960) 	17 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 31-01
Two-Way Luck 	"Uncle Scrooge" #31 (Sept 1960) 	9 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 31-04
Fishy Warden 	"Uncle Scrooge" #31 (Sept 1960) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 31-02
The Secret Book 	"Uncle Scrooge" #31 (Sept 1960) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 31-05
The Balmy Swami 	"Uncle Scrooge" #31 (Sept 1960) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 31-06
Rocks to Riches 	"Walt Disney's Comics and Stories" #241 (Oct 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 241-01
Balloonatics 	"Walt Disney's Comics and Stories" #242 (Nov 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 242-01
Turkey Trouble 	"Walt Disney's Comics and Stories" #243 (Dec 1960) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 243-01
That's No Fable! 	"Uncle Scrooge" #32 (Dec 1960) 	18 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 32-01
Clothes Make the Duck 	"Uncle Scrooge" #32 (Dec 1960) 	7 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 32-04
That Small Feeling 	"Uncle Scrooge" #32 (Dec 1960) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 32-02
The Homey Touch 	"Uncle Scrooge" #32 (Dec 1960) 	<1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 32-05
A Thrift Gift 	"Uncle Scrooge" #32 (Dec 1960) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 32-06
Turnabout 	"Uncle Scrooge" #32 (Dec 1960) 	1 	Uncle Scrooge 	Carl Barks 	(?) 	W US 32-07
A Sticky Situation 	"Daisy Duck's Diary" #1150 (Dec 1960) 	8 	Daisy Duck's Diary 	Carl Barks 	(?) 	W OS 1150-02
Ruling the Roost 	"Daisy Duck's Diary" #1150 (Dec 1960) 	8 	Daisy Duck's Diary 	Carl Barks 	(?) 	W OS 1150-05
Ring Leader Roundup 	"Daisy Duck's Diary" #1150 (Dec 1960) 	6 	Daisy Duck's Diary 	Carl Barks 	(?) 	W OS 1150-03
Too Much Help 	"Daisy Duck's Diary" #1150 (Dec 1960) 	4 	Daisy Duck's Diary 	Carl Barks 	Vic Lockman 	W OS 1150-04
Daringly Different 	"Daisy Duck's Diary" #1150 (Dec 1960) 	4 	Daisy Duck's Diary 	Carl Barks 	(?) 	W OS 1150-06
Small Fryers 	"Daisy Duck's Diary" #1150 (Dec 1960) 	1 	Daisy Duck 	Carl Barks 	(?) 	W OS 1150-01
False Flattery 	"Daisy Duck's Diary" #1150 (Dec 1960) 	<1 	Daisy Duck 	Carl Barks 	(?) 	W OS 1150-07
Friendly Enemy 	"Daisy Duck's Diary" #1150 (Dec 1960) 	1 	Daisy Duck 	Carl Barks 	(?) 	W OS 1150-08
Undercover Girl 	"Daisy Duck's Diary" #1150 (Dec 1960) 	1 	Daisy Duck 	Carl Barks 	(?) 	W OS 1150-09
The Inventive Gentleman 	"Daisy Duck's Diary" #1150 (Dec 1960) 	1 	Daisy Duck 	Carl Barks 	(?) 	W OS 1150-10
Missile Fizzle 	"Walt Disney's Comics and Stories" #244 (Jan 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 244-01
Sitting High 	"Walt Disney's Comics and Stories" #245 (Feb 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 245-01
The Whole Herd of Help 	"Grandma Duck's Farm Friends" #1161 (Feb 1961) 	8 	Grandma Duck's Farm Friends 	Carl Barks 	(?) 	W OS 1161-01
The Training Farm Fuss 	"Grandma Duck's Farm Friends" #1161 (Feb 1961) 	7 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1161-03
The Reversed Rescue 	"Grandma Duck's Farm Friends" #1161 (Feb 1961) 	7 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1161-04
The Day the Farm Stood Still 	"Grandma Duck's Farm Friends" #1161 (Feb 1961) 	6 	Grandma Duck's Farm Friends 	Carl Barks 	Vic Lockman 	W OS 1161-02
Lost Frontier 	"Walt Disney's Comics and Stories" #246 (March 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 246-01
Billions in the Hole 	"Uncle Scrooge" #33 (March 1961) 	16 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 33-02
Bongo on the Congo 	"Uncle Scrooge" #33 (March 1961) 	10 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 33-05
You Can't Win 	"Uncle Scrooge" #33 (March 1961) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 33-03
Tree Trick 	"Uncle Scrooge" #33 (March 1961) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 33-01
The Big Bobber 	"Uncle Scrooge" #33 (March 1961) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 33-06
Thumbs Up 	"Uncle Scrooge" #33 (March 1961) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 33-07
The Madcap Mariner 	"Walt Disney's Comics and Stories" #247 (April 1961) 	9 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 247-01
Terrible Tourist 	"Walt Disney's Comics and Stories" #248 (May 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 248-01
Monsterville 	"Gyro Gearloose" #1184 (May 1961) 	10 	Gyro Gearloose 	Carl Barks 	(?) 	W OS 1184-02
Mighty But Miserable 	"Gyro Gearloose" #1184 (May 1961) 	7 	Gyro Gearloose 	Carl Barks 	(?) 	W OS 1184-06
Brain-strain 	"Gyro Gearloose" #1184 (May 1961) 	7 	Gyro Gearloose 	Carl Barks 	(?) 	W OS 1184-07
The Cube 	"Gyro Gearloose" #1184 (May 1961) 	5 	Gyro Gearloose 	Carl Barks 	Vic Lockman 	W OS 1184-03
The Nose Knows 	"Gyro Gearloose" #1184 (May 1961) 	1 	Gyro Gearloose 	Carl Barks 	(?) 	W OS 1184-01
The Old Timer 	"Gyro Gearloose" #1184 (May 1961) 	1 	Gyro Gearloose 	Carl Barks 	(?) 	W OS 1184-09
Mechanized Mess 	"Gyro Gearloose" #1184 (May 1961) 	1 	Gyro Gearloose 	Carl Barks 	(?) 	W OS 1184-10
Stranger than Fiction 	"Walt Disney's Comics and Stories" #249 (June 1961) 	9 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 249-01
Mythtic Mystery 	"Uncle Scrooge" #34 (June 1961) 	14 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 34-01
Chugwagon Derby 	"Uncle Scrooge" #34 (June 1961) 	9 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 34-04
Wily Rival 	"Uncle Scrooge" #34 (June 1961) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 34-02
Boxed-In 	"Walt Disney's Comics and Stories" #250 (July 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 250-01
Duck Luck 	"Walt Disney's Comics and Stories" #251 (Aug 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 251-01
Mr. Private Eye 	"Walt Disney's Comics and Stories" #252 (Sept 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 252-01
The Golden Nugget Boat 	"Uncle Scrooge" #35 (Sept 1961) 	19 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 35-02
Fast Away Castaway 	"Uncle Scrooge" #35 (Sept 1961) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 35-04
Gift Lion 	"Uncle Scrooge" #35 (Sept 1961) 	4 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 35-05
Poor Loser 	"Donald Duck" #79 (Sept 1961) 	1 	Donald Duck 	Carl Barks 	Carl Barks 	W DD 79-07
Hound Hounder 	"Walt Disney's Comics and Stories" #253 (Oct 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 253-01
Jet Witch 	"Walt Disney's Comics and Stories" #254 (Nov 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 254-01
Buffaloed by Buffaloes 	"Gyro Gearloose" #1267 (Nov 1961) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W OS 1267-03
Boat Buster 	"Walt Disney's Comics and Stories" #255 (Dec 1961) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 255-01
The Midas Touch 	"Uncle Scrooge" #36 (Dec 1961) 	17 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 36-01
Money Bag Goat 	"Uncle Scrooge" #36 (Dec 1961) 	6 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 36-04
Duckburg's Day of Peril 	"Uncle Scrooge" #36 (Dec 1961) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 36-02
Northeaster on Cape Quack 	"Walt Disney's Comics and Stories" #256 (Jan 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 256-01
The Sleepies 	"Donald Duck" #81 (Jan 1962) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W DD 81-09
Movie Mad 	"Walt Disney's Comics and Stories" #257 (Feb 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 257-02
Ten-Cent Valentine 	"Walt Disney's Comics and Stories" #258 (March 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 258-01
Cave of Ali Baba 	"Uncle Scrooge" #37 (March 1962) 	16 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 37-02
Deep Down Doings 	"Uncle Scrooge" #37 (March 1962) 	9 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 37-05
The Great Pop Up 	"Uncle Scrooge" #37 (March 1962) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 37-04
The Windy Story 	"Uncle Scrooge" #37 (March 1962) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 37-01
Jungle Bungle 	"Walt Disney's Comics and Stories" #259 (April 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 259-01
Merry Ferry 	"Walt Disney's Comics and Stories" #260 (May 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 260-02
Medaling Around 	"Walt Disney's Comics and Stories" #261 (June 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 261-01
The Unsafe Safe 	"Uncle Scrooge" #38 (June 1962) 	19 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 38-02
Much Luck McDuck 	"Uncle Scrooge" #38 (June 1962) 	7 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 38-05
Madcap Inventors 	"Uncle Scrooge" #38 (June 1962) 	3 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 38-04
Uncle Scrooge - Monkey Business	"Uncle Scrooge" #38 (June 1962) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 38-01
Collection Day 	"Uncle Scrooge" #38 (June 1962) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 38-06
Seeing is Believing 	"Uncle Scrooge" #38 (June 1962) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 38-07
Playmates 	"Uncle Scrooge" #38 (June 1962) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 38-08
Way Out Yonder 	"Walt Disney's Comics and Stories" #262 (July 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 262-02
Rags to Riches 	"Walt Disney's Comics and Stories" #262 (July 1962) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W WDC 262-08
The Candy Kid 	"Walt Disney's Comics and Stories" #263 (Aug 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 263-01
Master Wrecker 	"Walt Disney's Comics and Stories" #264 (Sept 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 264-01
A Spicy Tale 	"Uncle Scrooge" #39 (Sept 1962) 	18 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 39-02
Tricky Experiment 	"Uncle Scrooge" #39 (Sept 1962) 	8 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 39-05
Finny Fun 	"Uncle Scrooge" #39 (Sept 1962) 	4 	Gyro Gearloose 	Carl Barks 	Carl Barks 	W US 39-04
Getting the Bird 	"Uncle Scrooge" #39 (Sept 1962) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 39-01
Art Appreciation 	"Uncle Scrooge" #39 (Sept 1962) 	<1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 39-06
Nest Egg Collector 	"Uncle Scrooge" #39 (Sept 1962) 	1 	Uncle Scrooge 	Carl Barks 	Carl Barks 	W US 39-07
Raven Mad 	"Walt Disney's Comics and Stories" #265 (Oct 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 265-02
Stalwart Ranger 	"Walt Disney's Comics and Stories" #266 (Nov 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 266-02
Log Jockey 	"Walt Disney's Comics and Stories" #267 (Dec 1962) 	10 	Donald Duck 	Carl Barks 	Carl Barks 	W WDC 267-02
